DepartureStation,ArrivalStation,Capacity,Weekend,Month,Hour,Duration,Passengers
AT,AZ,240,0,10,11,2.75,229.0
AW,AS,220,0,6,15,0.67,200.0
AJ,AR,240,0,9,17,0.92,183.0
BM,AV,240,0,10,0,4.0,210.0
AT,AZ,240,0,10,11,2.75,240.0
AT,BO,240,0,11,6,1.75,149.0
BA,AB,240,0,6,8,0.92,161.0
AT,BO,220,0,1,6,1.67,220.0
AT,AB,220,0,2,17,1.0,205.0
BM,AV,240,0,9,0,4.17,187.0
AT,AZ,220,1,10,11,2.75,202.0
AW,AB,240,1,3,18,1.83,135.0
AW,AS,220,0,7,19,0.67,114.0
AT,BO,220,0,1,6,1.67,180.0
AT,AB,220,1,2,17,1.0,118.0
AJ,AR,240,0,3,17,0.92,140.0
AT,BO,220,1,3,6,1.67,220.0
AT,AZ,240,0,10,11,2.75,240.0
AJ,AR,240,0,1,17,0.92,208.0
BM,AV,240,0,11,0,5.0,193.0
AT,BO,220,0,3,6,1.67,195.0
AW,AE,240,0,1,13,0.92,205.0
AT,AZ,220,0,1,6,1.92,214.0
AJ,AR,240,0,3,17,0.92,166.0
AT,BO,240,1,12,6,1.75,199.0
AW,BK,220,0,12,10,2.33,173.0
AW,AX,240,1,12,11,0.75,235.0
AT,AZ,240,1,10,11,2.75,210.0
AT,AB,220,0,3,17,1.0,220.0
AW,AB,240,0,9,8,1.75,141.0
AT,AZ,240,0,7,11,2.83,240.0
BM,AV,240,1,8,0,4.0,181.0
AT,AZ,240,0,3,6,1.92,173.0
AW,AB,240,0,3,14,1.83,183.0
BM,AV,240,1,9,0,4.17,211.0
AT,AZ,240,1,8,11,2.83,229.0
AW,AX,240,0,8,21,1.75,157.0
BA,AB,220,0,4,8,1.17,147.0
AT,BO,240,0,3,6,1.67,240.0
AT,AZ,220,0,2,14,1.92,201.0
AW,AE,240,0,9,16,0.75,207.0
BA,AB,236,1,8,8,0.92,176.0
AT,BO,220,0,12,6,1.75,157.0
AT,AZ,220,0,4,6,2.92,212.0
AT,BO,240,0,6,5,1.75,153.0
AT,BO,220,0,2,6,1.67,156.0
AT,AZ,220,0,6,11,2.83,209.0
AW,AS,240,1,7,15,0.67,212.0
AT,BO,220,0,4,6,1.67,208.0
AW,AB,240,0,5,15,1.75,147.0
AJ,AR,220,0,4,17,0.92,220.0
AW,AM,220,1,8,11,3.5,220.0
AT,BS,220,0,2,9,1.17,175.0
AJ,AR,240,0,3,17,0.92,193.0
AT,AZ,220,1,10,11,2.75,220.0
AT,BO,240,1,9,6,1.75,185.0
AT,BO,240,1,10,6,1.75,212.0
AT,AZ,220,0,10,11,2.75,220.0
AW,BS,220,1,7,9,1.75,202.0
AT,BO,220,1,11,6,1.75,205.0
AJ,AR,220,0,3,17,0.92,220.0
AT,BO,220,0,9,6,1.75,210.0
AT,BO,240,0,7,6,1.75,227.0
AT,BO,240,1,9,6,1.75,175.0
AT,AZ,240,1,12,11,1.75,181.0
AT,AB,220,0,1,17,1.0,129.0
AW,AS,240,1,12,17,0.75,234.0
AW,AE,220,0,12,15,0.92,191.0
AT,BO,220,1,2,6,1.67,139.0
AT,BO,220,0,2,6,1.67,220.0
AT,BO,240,1,2,6,1.67,201.0
AT,AZ,240,0,9,11,2.75,230.0
AT,AZ,240,1,5,11,2.92,182.0
AT,AZ,240,0,8,11,2.83,240.0
AJ,AR,240,0,10,17,0.92,142.0
AW,AS,220,0,4,15,0.75,199.0
AT,AZ,220,1,5,11,2.92,143.0
AT,BO,220,0,4,6,1.67,220.0
AT,AZ,220,0,5,11,2.92,165.0
BH,BO,240,0,11,12,2.42,138.0
BM,AV,240,0,8,0,4.0,170.0
AT,AZ,220,0,3,6,2.92,197.0
AT,BO,240,0,7,6,1.75,209.0
AW,AX,240,1,10,11,1.75,235.0
AT,AZ,220,1,7,11,2.83,206.0
